	0.00	0.00	13.16	-1.64	-3.24	7.35	8.06	4.449058	-75.199226	2.00	0.0000	0.0000	8.7372	8.4530	12.6062	27.1449	7.7444	-9.4743	69.1893	30	47
	0.00	0.00	13.27	-1.62	-4.06	7.45	7.91	4.449058	-75.199226	2.00	0.0000	0.0000	8.6242	8.5679	13.4355	28.2156	7.7660	-9.3177	69.0319	32	47
	0.00	0.00	13.30	-1.64	-4.43	7.51	7.76	4.449058	-75.199226	2.00	0.0000	0.0000	8.5246	8.6427	14.6031	28.5638	7.7855	-9.4047	68.8108	34	48
	0.00	0.00	13.11	-1.62	-4.57	7.61	7.61	4.449058	-75.199226	2.00	0.0000	0.0000	8.4362	8.7500	16.0273	29.0349	7.7546	-9.3715	68.7736	37	48
	0.00	0.00	13.29	-1.49	-4.88	7.85	7.49	4.449058	-75.199226	2.00	0.0000	0.0000	8.3812	8.9564	17.7480	29.1072	7.7520	-9.2993	68.6619	39	45
	0.00	0.00	13.26	-1.43	-5.21	7.97	7.42	4.449044	-75.199226	2.00	0.0000	0.0000	8.3735	9.0399	19.4045	27.8000	7.8220	-9.3611	68.4577	42	44
	0.00	0.00	13.22	-1.35	-5.23	7.86	7.39	4.449044	-75.199226	2.00	0.0000	0.0000	8.3990	8.9429	20.8377	27.1145	7.9195	-9.2510	68.3000	43	47
	0.00	0.00	13.19	-0.60	-4.89	7.65	7.40	4.449044	-75.199226	2.00	0.0000	0.0000	8.4455	8.7973	22.3816	28.0527	8.0131	-9.2415	68.1303	44	50
	0.00	0.00	13.36	0.76	-4.86	7.43	7.42	4.449044	-75.199226	2.00	0.0000	0.0000	8.4853	8.6661	23.9145	30.0995	8.1072	-9.2070	67.9604	45	54
	0.00	0.00	13.05	1.58	-5.18	7.25	7.42	4.449044	-75.199226	2.0	0.0000	0.0000	8.5122	8.5801	25.0811	32.6870	8.1549	-9.3499	67.7562	47	58
	0.00	0.00	13.22	1.92	-5.63	7.10	7.39	4.449044	-75.199226	2.00	0.0000	0.0000	8.5243	8.5264	26.1845	35.3248	8.1484	-9.2216	67.6082	49	62
	0.00	0.00	13.25	2.98	-6.92	7.00	7.36	4.449044	-75.199226	2.00	0.0000	0.0000	8.5322	8.5086	27.9122	38.4182	8.1564	-9.2371	67.5285	50	65
	0.00	0.00	13.30	4.17	-8.76	6.98	7.36	4.449044	-75.199226	2.00	0.0000	0.0000	8.5629	8.5477	29.7082	41.5628	8.1280	-9.0833	67.4356	51	67
	0.00	0.00	13.26	4.08	-9.70	7.02	7.40	4.449044	-75.199226	2.00	0.0000	0.0000	8.6407	8.6404	30.6535	43.7224	8.0909	-9.0752	67.2596	52	69
	0.00	0.00	13.25	3.35	-10.15	7.06	7.45	4.449044	-75.199226	2.00	0.0000	0.0000	8.7329	8.7341	30.9878	45.2150	8.1022	-9.1679	67.1774	54	71
	0.00	0.00	13.14	3.47	-11.34	7.11	7.49	4.449044	-75.199226	2.00	0.0000	0.0000	8.8027	8.8230	31.6248	47.0506	8.0739	-9.0304	67.0405	54	72
	0.00	0.00	13.22	4.20	-12.64	7.16	7.56	4.449044	-75.199226	2.00	0.0000	0.0000	8.8831	8.9040	32.5408	48.7565	8.0320	-9.0807	66.9506	54	73
